mother_id,age,state,rural_urban,education_level,marital_status,employment_status
M0001,27,Lagos,Rural,Tertiary,Married,Formal
M0002,24,Adamawa,Urban,Tertiary,Divorced,Informal
M0003,28,Edo,Urban,Tertiary,Married,Informal
M0004,32,Cross_River,Urban,Tertiary,Married,Informal
M0005,23,Ogun,Rural,None,Married,Informal
M0006,23,Lagos,Rural,Tertiary,Married,Informal
M0007,32,Rivers,Urban,Tertiary,Single,Formal
M0008,28,Anambra,Urban,Secondary,Married,Informal
M0009,22,Kaduna,Urban,Secondary,Single,Formal
M0010,27,Adamawa,Rural,None,Married,Unemployed
M0011,22,Cross_River,Rural,Secondary,Married,Informal
M0012,22,Kano,Urban,Tertiary,Married,Informal
M0013,26,Adamawa,Rural,Primary,Married,Informal
M0014,15,Borno,Urban,None,Single,Informal
M0015,16,Lagos,Urban,None,Married,Formal
M0016,22,Katsina,Urban,Secondary,Married,Informal
M0017,19,Cross_River,Rural,Secondary,Married,Informal
M0018,26,Kebbi,Rural,Secondary,Married,Informal
M0019,20,Oyo,Urban,Secondary,Married,Informal
M0020,17,Abia,Urban,Tertiary,Divorced,Student
M0021,32,Oyo,Rural,Tertiary,Single,Informal
M0022,23,Niger,Rural,None,Married,Informal
M0023,25,Imo,Rural,None,Married,Formal
M0024,17,Benue,Urban,Tertiary,Married,Formal
M0025,22,Yobe,Rural,Tertiary,Single,Formal
M0026,25,Gombe,Urban,Secondary,Married,Unemployed
M0027,19,Anambra,Rural,Tertiary,Married,Informal
M0028,26,Bauchi,Rural,Secondary,Married,Unemployed
M0029,21,Plateau,Urban,Tertiary,Married,Student
M0030,23,Kogi,Rural,Secondary,Married,Informal
M0031,21,Oyo,Urban,None,Married,Informal
M0032,34,Niger,Urban,Tertiary,Married,Formal
M0033,24,Katsina,Rural,Secondary,Married,Informal
M0034,19,Yobe,Rural,Secondary,Married,Formal
M0035,29,Jigawa,Rural,Secondary,Married,Informal
M0036,18,Katsina,Rural,None,Married,Informal
M0037,26,Oyo,Urban,Secondary,Single,Formal
M0038,15,Kwara,Urban,Tertiary,Married,Informal
M0039,18,Rivers,Urban,Tertiary,Married,Unemployed
